Sloka,Class
" कश्चित् कस्यचिन्मित्रं, न कश्चित् कस्यचित् रिपु:।                        अर्थतस्तु निबध्यन्ते, मित्राणि रिपवस्तथा ॥",Chanakya Slokas
मूर्खशिष्योपदेशेन दुष्टास्त्रीभरणेन च।                           दुःखितैः सम्प्रयोगेण पण्डितोऽप्यवसीदति॥,Chanakya Slokas
दुष्टा भार्या शठं मित्रं भृत्यश्चोत्तरदायकः।                           ससर्पे गृहे वासो मृत्युरेव न संशयः॥,Chanakya Slokas
धनिकः श्रोत्रियो राजा नदी वैद्यस्तु पञ्चमः।                                   पञ्च यत्र न विद्यन्ते न तत्र दिवसे वसेत ॥,Chanakya Slokas
जानीयात्प्रेषणेभृत्यान् बान्धवान्व्यसनाऽऽगमे।                                 मित्रं याऽऽपत्तिकालेषु भार्यां च विभवक्षये ॥,Chanakya Slokas
 यस्मिन् देशे न सम्मानो न वृत्तिर्न च बान्धवाः।                        न च विद्यागमोऽप्यस्ति वासस्तत्र न कारयेत् ॥,Chanakya Slokas
 माता यस्य गृहे नास्ति भार्या चाप्रियवादिनी।                            अरण्यं तेन गन्तव्यं यथारण्यं तथा गृहम् ॥,Chanakya Slokas
 आपदर्थे धनं रक्षेद् दारान् रक्षेद् धनैरपि।                            आत्मानं सततं रक्षेद् दारैरपि धनैरपि ॥,Chanakya Slokas
 लोकयात्रा भयं लज्जा दाक्षिण्यं त्यागशीलता।                                   पञ्च यत्र न विद्यन्ते न कुर्यात्तत्र संगतिम् ॥,Chanakya Slokas
 आतुरे व्यसने प्राप्ते दुर्भिक्षे शत्रुसण्कटे।                                    राजद्वारे श्मशाने च यात्तिष्ठति स बान्धवः ॥,Chanakya Slokas
 भोज्यं भोजनशक्तिश्च रतिशक्तिर वरांगना ।                                   विभवो दानशक्तिश्च नाऽल्पस्य तपसः फलम् ॥,Chanakya Slokas
यस्य पुत्रो वशीभूतो भार्या छन्दानुगामिनी।                                   विभवे यस्य सन्तुष्टिस्तस्य स्वर्ग इहैव हि ॥,Chanakya Slokas
ते पुत्रा ये पितुर्भक्ताः सः पिता यस्तु पोषकः।                                तन्मित्रं यत्र विश्वासः सा भार्या या निवृतिः ॥,Chanakya Slokas
कष्टं च खलु मूर्खत्वं कष्ट च खलु यौवनम्।                                  कष्टात्कष्टतरं चैव परगृहेनिवासनम् ॥,Chanakya Slokas
माता शत्रुः पिता वैरी येनवालो न पाठितः।                                  न शोभते सभामध्ये हंसमध्ये वको यथा ॥,Chanakya Slokas
  परोक्षे कार्यहन्तारं प्रत्यक्षे प्रियवादिनम्।                                    वर्जयेत्तादृशं मित्रं विषकुम्भं पयोमुखम् ॥,Chanakya Slokas
 न विश्वसेत्कुमित्रे च मित्रे चापि न विश्वसेत्।                                    कदाचित्कुपितं मित्रं सर्वं गुह्यं प्रकाशयेत् ॥,Chanakya Slokas
 मनसा चिन्तितं कार्यं वाचा नैव प्रकाशयेत्।                                    मन्त्रेण रक्षयेद् गूढं कार्य चापि नियोजयेत् ॥,Chanakya Slokas
 शैले शैले न माणिक्यं मौक्तिकं न गजे गजे।                                   साधवो न हि सर्वत्र चन्दनं न वने वने ॥,Chanakya Slokas
 लालनाद् बहवो दोषास्ताडनाद् बहवो गुणाः।                                   तस्मात्पुत्रं च शिष्यं च ताडयेन्न तु लालयेत् ॥,Chanakya Slokas
 बलं विद्या च विप्राणां राज्ञः सैन्यं बलं तथा।                                   बलं वित्तं च वैश्यानां शूद्राणां च कनिष्ठता ॥,Chanakya Slokas
दुराचारी च दुर्दृष्टिर्दुराऽऽवासी च दुर्जनः।                                 यन्मैत्री क्रियते पुम्भिर्नरः शीघ्र विनश्यति ॥,Chanakya Slokas
समाने शोभते प्रीती राज्ञि सेवा च शोभते।                                  वाणिज्यं व्यवहारेषु स्त्री दिव्या शोभते गृहे ॥,Chanakya Slokas
यो ध्रुवाणि परित्यज्य ह्यध्रुवं परिसेवते।                                 ध्रुवाणि तस्य नश्यन्ति चाध्रुवं नष्टमेव तत् ॥,Chanakya Slokas
वरयेत्कुलजां प्राज्ञो निरूपामपि कन्यकाम्।                                  रूपवतीं न नीचस्य विवाहः सदृशे कुले ॥,Chanakya Slokas
  कस्य दोषः कुले नास्ति व्याधिना को न पीडितः।                                   व्यसनं केन न प्राप्तं कस्य सौख्यं निरन्तरम् ॥,Chanakya Slokas
 आचारः कुलमाख्याति देशमाख्याति भाषणम्।                                     सम्भ्रमः स्नेहमाख्याति वपुराख्याति भोजनम् ॥,Chanakya Slokas
 सकुले योजयेत्कन्या पुत्रं पुत्रं विद्यासु योजयेत्।                                  व्यसने योजयेच्छत्रुं मित्रं धर्मे नियोजयेत् ॥,Chanakya Slokas
 दुर्जनेषु च सर्पेषु वरं सर्पो न दुर्जनः।                                  सर्पो दंशति कालेन दुर्जनस्तु पदे-पदे ॥,Chanakya Slokas
 एतदर्थ कुलीनानां नृपाः कुर्वन्ति संग्रहम्।                                   आदिमध्यावसानेषु न त्यजन्ति च ते नृपम् ॥,Chanakya Slokas
 प्रलये भिन्नमर्यादा भवन्ति किल सागराः।                                    सागरा भेदमिच्छन्ति प्रलयेऽपि न साधवः॥,Chanakya Slokas
मूर्खस्तु परिहर्तव्यः प्रत्यक्षो द्विपदः पशुः।                                 भिनत्ति वाक्यशूलेन अदृश्ययं कण्टकं यथा ॥,Chanakya Slokas
रूपयौवनसम्पन्ना विशालकुलसम्भवाः।                                  विद्याहीना न शोभन्ते निर्गन्धा इव किंशुकाः ॥,Chanakya Slokas
कोकिलानां स्वरो रूपं नारी रूपं पतिव्रतम्।                                  विद्या रूपं कुरूपाणां क्षमा रूपं तपस्विनाम्॥,Chanakya Slokas
 त्यजेदेकं कुलस्यार्थे ग्रामस्यार्थे कुलं त्यजेत्।                                  ग्रामं जनपदस्यार्थे आत्मार्थे पृथिवीं त्यजेत्॥,Chanakya Slokas
  उद्योगे नास्ति दारिद्रयं जपतो नास्ति पातकम्।                                      मौनेन कलहो नास्ति जागृतस्य च न भयम्॥,Chanakya Slokas
 अति रूपेण वै सीता चातिगर्वेण रावणः।                                    अतिदानाद् बलिर्बद्धो ह्यति सर्वत्र वर्जयेत्॥,Chanakya Slokas
 को हि भारः समर्थानां किं दूर व्यवसायिनाम्।                                  को विदेश सुविद्यानां को परः प्रियवादिनम्॥,Chanakya Slokas
  एकेनापि सुवर्ण पुष्पितेन सुगन्धिता।                                    वसितं तद्वनं सर्वं सुपुत्रेण कुलं यथा॥,Chanakya Slokas
 एकेन शुष्कवृक्षेण दह्यमानेन वह्निना।                                   दह्यते तद्वनं सर्वं कुपुत्रेण कुलं यथा॥,Chanakya Slokas
 एकेनापि सुपुत्रेण विद्यायुक्ते च साधुना।                                  आह्लादितं कुलं सर्वं यथा चन्द्रेण शर्वरी॥,Chanakya Slokas
